symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,pnl,pnl_pct_on_margin,hold_bars,exit_reason,entry_models,tp1_hit
ETHUSDT,LONG,2025-09-18T20:45:00,2025-09-18T21:00:00,4611.757275,4594.46,0.08673483,100.0,4.0,-1.81967616,-0.01819676,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2025-09-23T11:15:00,2025-09-23T11:30:00,4182.95614,4194.5,0.09543684,99.80203238,4.0,-1.42151674,-0.01424336,1,STOP_EMA30,EMA_MACD,False
ETHUSDT,SHORT,2025-09-23T17:30:00,2025-09-23T19:15:00,4138.42304,4170.18,0.096311,99.64391238,4.0,-3.37862842,-0.03390702,7,STOP_MACD,EMA_BB,False
ETHUSDT,SHORT,2025-09-25T12:15:00,2025-09-25T14:00:00,3936.52634,4001.14,0.10089109,99.29010652,4.0,-6.83927839,-0.06888177,7,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-09-25T17:00:00,2025-09-25T20:45:00,109994.76,109163.44,0.00358527,98.59029226,4.0,2.66621186,0.02704335,15,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-09-26T18:00:00,2025-09-26T19:30:00,4056.65587,4012.74,0.09746071,98.841139,4.0,-4.59465143,-0.04648521,6,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-09-28T20:30:00,2025-09-29T01:15:00,111110.07549,112042.97,0.0035412,98.36585927,4.0,2.98747754,0.03037108,19,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-09-29T20:30:00,2025-09-29T23:00:00,4236.72557,4222.58,0.0931369,98.64886849,4.0,-1.63262389,-0.01654985,10,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-09-30T20:00:00,2025-09-30T22:00:00,114338.961565,114130.31,0.00344484,98.46982228,4.0,-1.03358693,-0.01049648,8,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-01T23:15:00,2025-10-02T02:00:00,118530.118885,118701.5,0.00331901,98.35070842,4.0,0.25386611,0.00258123,11,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-02T12:45:00,2025-10-02T14:45:00,119581.52363,118814.09,0.00329015,98.36035892,4.0,-2.83871675,-0.02886037,8,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2025-10-05T20:00:00,2025-10-05T21:15:00,4490.39429,4501.26,0.08735157,98.06074958,4.0,-1.2633109,-0.01288294,5,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-06T18:45:00,2025-10-06T19:30:00,126200.19677,125391.4,0.0031036,97.91872877,4.0,-2.82251741,-0.0288251,3,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-07T12:45:00,2025-10-07T13:30:00,4754.58119,4687.86,0.08212779,97.62081004,4.0,-5.78985853,-0.05930968,3,STOP_EMA30,EMA_BB,False
ETHUSDT,SHORT,2025-10-07T23:45:00,2025-10-08T00:45:00,4441.02845,4471.6,0.08739075,97.02620485,4.0,-2.98322329,-0.03074657,4,STOP_MACD,EMA_BB,False
BTCUSDT,LONG,2025-10-08T18:00:00,2025-10-08T19:30:00,124056.576155,123432.01,0.00311833,96.71235833,4.0,-2.25630434,-0.02333005,6,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-10-10T20:45:00,2025-10-10T22:45:00,114095.41977,113700.0,0.00169106,96.47125392,4.0,19.40123954,0.20110902,8,RUNNER_EMA10,EMA_BB,True
ETHUSDT,SHORT,2025-10-11T18:15:00,2025-10-11T22:15:00,3810.305955,3740.86,0.10329453,98.39594247,4.0,6.86138975,0.06973245,16,STOP_MACD,EMA_MACD,False
BTCUSDT,LONG,2025-10-12T20:15:00,2025-10-12T21:30:00,115403.736335,114622.81,0.00343373,99.0663381,4.0,-2.99743042,-0.0302568,5,STOP_MACD,EMA_BB,False
ETHUSDT,LONG,2025-10-13T17:45:00,2025-10-13T21:45:00,4240.97193,4258.29,0.09313973,98.75074444,4.0,1.29635277,0.01312752,16,STOP_MACD,EMA_BB,False
BTCUSDT,SHORT,2025-10-15T12:15:00,2025-10-15T14:15:00,111302.55536,111918.76,0.003553,98.8645796,4.0,-2.50661937,-0.02535407,8,STOP_MACD,EMA_BB,False
