timestamp,symbol,action,reason,position_before_side,position_after_side,entry_price_before,entry_price_after,quantity_before,quantity_after,stop_price_before,stop_price_after,tp1_price_before,tp1_price_after,tp1_hit_before,tp1_hit_after,pnl_ratio_before,pnl_ratio_after,close,high,low,ema10,ema30,ema30_1h,ema_cross,macd_cross,macd_zone,macd_hist,bb_break,bb_width_expand,event_side,event_entry_price,event_target_margin,event_quantity,event_stop_price,event_tp1_price,event_ema_macd_signal_bars_ago,event_ema_bb_signal_bars_ago,event_exit_price,event_net_pnl,event_hold_bars,event_tp1_reduced,event_runner_active,event_current_pnl_ratio,event_rank
2025-09-18T06:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,117076.89,117338.05,117000.0,117276.99127071713,116965.52300587803,116431.88875580017,NONE,NONE,ABOVE_ZERO,-66.08184721715406,NONE,False,,,,,,,,,,,,,,,
2025-09-18T06:00:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4562.91,4593.87,4560.89,4594.403993287161,4590.728090063607,4542.217074517822,NONE,NONE,ABOVE_ZERO,-8.416138330221528,LOWER,True,,,,,,,,,,,,,,,
2025-09-18T06:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,116946.95,117163.48,116905.77,117216.98376695038,116964.3247474343,116431.88875580017,NONE,NONE,ABOVE_ZERO,-86.55032265142222,NONE,False,,,,,,,,,,,,,,,
2025-09-18T06:15:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4558.49,4573.0,4556.64,4587.874176325859,4588.648213285311,4542.217074517822,DEAD,NONE,BELOW_ZERO,-9.300640206409197,LOWER,True,,,,,,,,,,,,,,,
2025-09-18T06:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,117054.32,117065.28,116888.02,117187.40853659576,116970.13089276112,116431.88875580017,NONE,NONE,ABOVE_ZERO,-90.4955804005813,NONE,False,,,,,,,,,,,,,,,
2025-09-18T06:30:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4568.35,4570.68,4553.7,4584.324326084793,4587.338651137871,4542.217074517822,NONE,NONE,BELOW_ZERO,-8.817105705178175,NONE,True,,,,,,,,,,,,,,,
2025-09-18T06:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,117102.43,117111.72,116946.93,117171.95789357834,116978.6663190346,116431.88875580017,NONE,NONE,ABOVE_ZERO,-87.45316550692738,NONE,False,,,,,,,,,,,,,,,
2025-09-18T06:45:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4571.37,4573.88,4564.74,4581.968994069376,4586.308415580589,4542.217074517822,NONE,NONE,BELOW_ZERO,-7.917877036501531,NONE,True,,,,,,,,,,,,,,,
2025-09-18T07:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,117155.52,117208.0,117048.81,117168.969185655,116990.0762339356,116475.14948123242,NONE,NONE,ABOVE_ZERO,-79.67336577058134,NONE,False,,,,,,,,,,,,,,,
2025-09-18T07:00:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4578.58,4579.7,4571.37,4581.352813329489,4585.809808123777,4544.097908419898,NONE,NONE,BELOW_ZERO,-6.519795914936556,NONE,True,,,,,,,,,,,,,,,
2025-09-18T07:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,117081.25,117196.09,117063.91,117153.02024280863,116995.95841239137,116475.14948123242,NONE,NONE,ABOVE_ZERO,-77.27832089788612,NONE,False,,,,,,,,,,,,,,,
2025-09-18T07:15:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4578.39,4582.15,4571.32,4580.814119996855,4585.331110825469,4544.097908419898,NONE,NONE,BELOW_ZERO,-5.3397242414337285,NONE,True,,,,,,,,,,,,,,,
2025-09-18T07:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,117196.09,117196.09,117081.25,117160.85110775252,117008.87012772096,116475.14948123242,NONE,NONE,ABOVE_ZERO,-66.13919693386916,NONE,False,,,,,,,,,,,,,,,
2025-09-18T07:30:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4581.09,4581.2,4573.08,4580.864279997426,4585.057490772213,4544.097908419898,NONE,NONE,BELOW_ZERO,-4.161554613437159,NONE,True,,,,,,,,,,,,,,,
2025-09-18T07:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,117086.01,117196.09,117056.74,117147.2436336157,117013.84689367445,116475.14948123242,NONE,NONE,ABOVE_ZERO,-64.30650921857153,NONE,False,,,,,,,,,,,,,,,
2025-09-18T07:45:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4574.75,4583.85,4574.5,4579.752592725166,4584.392491367555,4544.097908419898,NONE,NONE,BELOW_ZERO,-3.6137654055994153,NONE,True,,,,,,,,,,,,,,,
2025-09-18T08:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,117234.0,117239.92,117010.59,117163.01751841285,117028.05031988901,116514.55983728195,NONE,NONE,ABOVE_ZERO,-51.78699592292537,NONE,False,,,,,,,,,,,,,,,
2025-09-18T08:00:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4583.43,4583.5,4571.66,4580.421212229681,4584.330395150293,4546.075462715389,NONE,NONE,BELOW_ZERO,-2.5230246351836905,NONE,False,,,,,,,,,,,,,,,
2025-09-18T08:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,117320.04,117413.04,117191.4,117191.56706051959,117046.88836376714,116514.55983728195,NONE,NONE,ABOVE_ZERO,-37.06095220058688,NONE,False,,,,,,,,,,,,,,,
2025-09-18T08:15:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,4592.84,4594.53,4580.76,4582.679173642467,4584.87940191479,4546.075462715389,NONE,NONE,BELOW_ZERO,-1.0968133995256852,NONE,False,,,,,,,,,,,,,,,
