timestamp,symbol,action,reason,position_before_side,position_after_side,entry_price_before,entry_price_after,quantity_before,quantity_after,stop_price_before,stop_price_after,tp1_price_before,tp1_price_after,tp1_hit_before,tp1_hit_after,pnl_ratio_before,pnl_ratio_after,close,high,low,ema10,ema30,ema30_1h,ema_cross,macd_cross,macd_zone,macd_hist,bb_break,bb_width_expand,event_side,event_entry_price,event_target_margin,event_quantity,event_stop_price,event_tp1_price,event_ema_macd_signal_bars_ago,event_ema_bb_signal_bars_ago,event_runner_active,event_tp1_reduced,event_current_pnl_ratio,event_exit_price,event_net_pnl,event_hold_bars,event_rank
2025-12-17T06:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,86869.22,87005.27,86587.82,86823.3373442078,87154.59235155184,87277.38612552872,NONE,NONE,BELOW_ZERO,-50.03288875806447,NONE,False,,,,,,,,,,,,,,,
2025-12-17T06:00:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,2941.23,2942.47,2930.22,2936.2324782132064,2943.11705562151,2957.468531090152,NONE,NONE,BELOW_ZERO,-1.426032741588029,NONE,False,,,,,,,,,,,,,,,
2025-12-17T06:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,86872.42,86985.7,86821.77,86832.26146344274,87136.38768370979,87277.38612552872,NONE,NONE,BELOW_ZERO,-25.65032862177685,NONE,False,,,,,,,,,,,,,,,
2025-12-17T06:15:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,2940.39,2942.83,2937.14,2936.9883912653504,2942.9411165491547,2957.468531090152,NONE,NONE,BELOW_ZERO,-0.6488003131328335,NONE,False,,,,,,,,,,,,,,,
2025-12-17T06:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,86803.56,86930.67,86763.68,86827.04301554406,87114.91492992207,87277.38612552872,NONE,NONE,BELOW_ZERO,-11.59886972469917,NONE,False,,,,,,,,,,,,,,,
2025-12-17T06:30:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,2936.2,2944.26,2935.23,2936.845047398923,2942.506205804048,2957.468531090152,NONE,NONE,BELOW_ZERO,-0.3603780365809217,NONE,False,,,,,,,,,,,,,,,
2025-12-17T06:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,86777.98,86815.85,86727.27,86818.12246726331,87093.17719250776,87277.38612552872,NONE,NONE,BELOW_ZERO,-1.9708809716668725,NONE,False,,,,,,,,,,,,,,,
2025-12-17T06:45:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,2936.47,2937.35,2933.44,2936.776856962755,2942.116773171529,2957.468531090152,NONE,NONE,BELOW_ZERO,-0.10800391067882265,NONE,False,,,,,,,,,,,,,,,
2025-12-17T07:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,86662.31,86922.94,86650.0,86789.79292776088,87065.37930912017,87245.16637549462,NONE,NONE,BELOW_ZERO,-1.3649939849144346,NONE,True,,,,,,,,,,,,,,,
2025-12-17T07:00:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,2935.49,2943.09,2932.09,2936.5428829695265,2941.6892394185274,2956.1137871488518,NONE,GOLDEN,BELOW_ZERO,0.029020147044396705,NONE,True,,,,,,,,,,,,,,,
