timestamp,symbol,action,reason,position_before_side,position_after_side,entry_price_before,entry_price_after,quantity_before,quantity_after,stop_price_before,stop_price_after,tp1_price_before,tp1_price_after,tp1_hit_before,tp1_hit_after,pnl_ratio_before,pnl_ratio_after,close,high,low,ema10,ema30,ema30_1h,ema_cross,macd_cross,macd_zone,macd_hist,bb_break,bb_width_expand,event_side,event_entry_price,event_target_margin,event_quantity,event_stop_price,event_tp1_price,event_ema_macd_signal_bars_ago,event_ema_bb_signal_bars_ago,event_runner_active,event_tp1_reduced,event_current_pnl_ratio,event_exit_price,event_net_pnl,event_hold_bars
2026-02-15T05:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70331.18,70472.43,70170.0,70057.63471573945,69870.97993907472,69448.06431092975,NONE,NONE,ABOVE_ZERO,84.40993860049323,NONE,True,,,,,,,,,,,,,,
2026-02-15T05:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70357.27,70422.75,70274.29,70112.11385833228,69902.35349139248,69448.06431092975,NONE,NONE,ABOVE_ZERO,81.63632034108488,NONE,True,,,,,,,,,,,,,,
2026-02-15T05:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70267.61,70444.7,70267.6,70140.38588409004,69925.91842743168,69448.06431092975,NONE,NONE,ABOVE_ZERO,69.30074186908111,NONE,True,,,,,,,,,,,,,,
2026-02-15T06:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70231.5,70286.88,70184.09,70156.95208698275,69945.63336759739,69500.93822635364,NONE,NONE,ABOVE_ZERO,54.87804887746297,NONE,True,,,,,,,,,,,,,,
2026-02-15T06:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70375.97,70531.0,70200.45,70196.77352571316,69973.39702130079,69500.93822635364,NONE,NONE,ABOVE_ZERO,51.30236989618149,NONE,True,,,,,,,,,,,,,,
2026-02-15T06:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70370.3,70540.99,70361.18,70228.3237937653,69999.00366508783,69500.93822635364,NONE,NONE,ABOVE_ZERO,45.01431963176361,NONE,False,,,,,,,,,,,,,,
2026-02-15T06:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70405.12,70423.86,70292.97,70260.46855853524,70025.20471895313,69500.93822635364,NONE,NONE,ABOVE_ZERO,39.837218047874615,NONE,True,,,,,,,,,,,,,,
2026-02-15T07:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70423.67,70439.76,70307.11,70290.14154789248,70050.91215644003,69559.27253433083,NONE,NONE,ABOVE_ZERO,34.49871932557875,NONE,False,,,,,,,,,,,,,,
2026-02-15T07:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70674.99,70880.44,70400.0,70360.1139937302,70091.17524312132,69559.27253433083,NONE,NONE,ABOVE_ZERO,44.11512097531116,NONE,True,,,,,,,,,,,,,,
2026-02-15T07:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70741.62,70926.42,70595.4,70429.4787221429,70133.13942098446,69559.27253433083,NONE,NONE,ABOVE_ZERO,50.7138251740802,NONE,False,,,,,,,,,,,,,,
2026-02-15T07:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70828.42,70828.43,70690.01,70502.0134999351,70177.99623253386,69559.27253433083,NONE,NONE,ABOVE_ZERO,56.24679530842434,NONE,False,,,,,,,,,,,,,,
2026-02-15T08:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70741.82,70983.0,70732.01,70545.61468176507,70214.37195946716,69641.1530159869,NONE,NONE,ABOVE_ZERO,49.62755581062308,NONE,False,,,,,,,,,,,,,,
2026-02-15T08:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70568.02,70831.27,70568.01,70549.6883759896,70237.18796208219,69641.1530159869,NONE,NONE,ABOVE_ZERO,30.06052669183879,NONE,False,,,,,,,,,,,,,,
2026-02-15T08:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70330.24,70608.8,70182.31,70509.78867126422,70243.19131936722,69641.1530159869,NONE,DEAD,ABOVE_ZERO,-0.747758273632229,NONE,False,,,,,,,,,,,,,,
2026-02-15T08:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70446.52,70454.7,70297.38,70498.2852764889,70256.30929876288,69641.1530159869,NONE,NONE,ABOVE_ZERO,-14.389837074675853,NONE,False,,,,,,,,,,,,,,
2026-02-15T09:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70582.01,70668.0,70388.3,70513.5079534909,70277.3222472298,69693.1121762458,NONE,NONE,ABOVE_ZERO,-15.29859543191293,NONE,True,,,,,,,,,,,,,,
2026-02-15T09:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70628.82,70628.82,70513.47,70534.47378012892,70299.99952160206,69693.1121762458,NONE,NONE,ABOVE_ZERO,-13.80319843942786,NONE,False,,,,,,,,,,,,,,
2026-02-15T09:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70504.23,70631.85,70451.26,70528.97491101456,70313.17568149872,69693.1121762458,NONE,NONE,ABOVE_ZERO,-21.78620192833074,NONE,False,,,,,,,,,,,,,,
2026-02-15T09:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70419.11,70520.1,70370.3,70508.99947264827,70320.01015366009,69693.1121762458,NONE,NONE,ABOVE_ZERO,-32.72306262569879,NONE,False,,,,,,,,,,,,,,
2026-02-15T10:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70304.38,70461.92,70208.16,70471.79593216676,70319.00175664976,69739.95074552027,NONE,NONE,ABOVE_ZERO,-46.75307403228223,NONE,False,,,,,,,,,,,,,,
2026-02-15T10:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70433.43,70453.54,70226.55,70464.82030813643,70326.38422396267,69739.95074552027,NONE,NONE,ABOVE_ZERO,-46.322306199289216,NONE,False,,,,,,,,,,,,,,
2026-02-15T10:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70456.86,70456.86,70300.0,70463.37297938435,70334.80201596508,69739.95074552027,NONE,NONE,ABOVE_ZERO,-43.48522739896927,NONE,False,,,,,,,,,,,,,,
2026-02-15T10:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70427.02,70523.94,70414.04,70456.76334676902,70340.75156332218,69739.95074552027,NONE,NONE,ABOVE_ZERO,-42.589099183249516,NONE,False,,,,,,,,,,,,,,
2026-02-15T11:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70419.84,70543.14,70410.0,70450.05001099283,70345.85404310784,69784.27779419639,NONE,NONE,ABOVE_ZERO,-41.413320279301985,NONE,False,,,,,,,,,,,,,,
2026-02-15T11:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70384.09,70477.86,70350.0,70438.0572817214,70348.32087903637,69784.27779419639,NONE,NONE,ABOVE_ZERO,-41.852779336029315,NONE,False,,,,,,,,,,,,,,
2026-02-15T11:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70362.8,70387.46,70284.59,70424.37413959023,70349.25501587274,69784.27779419639,NONE,NONE,ABOVE_ZERO,-42.263406715393174,NONE,True,,,,,,,,,,,,,,
2026-02-15T11:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70295.22,70391.88,70267.6,70400.89156875564,70345.76888581645,69784.27779419639,NONE,NONE,ABOVE_ZERO,-45.492229997384925,NONE,True,,,,,,,,,,,,,,
2026-02-15T12:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70224.74,70322.29,70164.8,70368.86401080007,70337.96057060249,69817.24180747404,NONE,NONE,ABOVE_ZERO,-50.3995688525617,NONE,True,,,,,,,,,,,,,,
2026-02-15T12:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70370.31,70393.97,70024.48,70369.12691792732,70340.04763056363,69817.24180747404,NONE,NONE,ABOVE_ZERO,-42.19904085898358,NONE,False,,,,,,,,,,,,,,
2026-02-15T12:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,70260.91,70418.48,70154.24,70349.45111466781,70334.94197697888,69817.24180747404,NONE,NONE,ABOVE_ZERO,-42.38805068781873,NONE,False,,,,,,,,,,,,,,
2026-02-15T12:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,69314.21,70260.92,69309.87,70161.22545745548,70269.08830104477,69817.24180747404,DEAD,NONE,BELOW_ZERO,-101.16347105662511,LOWER,True,,,,,,,,,,,,,,
2026-02-15T13:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,69511.1,69554.99,69296.26,70043.02082882721,70220.18583000964,69784.78814247572,NONE,NONE,BELOW_ZERO,-120.36679970795241,LOWER,True,,,,,,,,,,,,,,
2026-02-15T13:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,69056.85,69620.06,69015.11,69863.71704176771,70145.13190549289,69784.78814247572,NONE,NONE,BELOW_ZERO,-155.04033102365685,LOWER,True,,,,,,,,,,,,,,
2026-02-15T13:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,68925.99,69169.82,68878.36,69693.22121599175,70066.47758900948,69784.78814247572,NONE,NONE,BELOW_ZERO,-176.6012792770975,LOWER,True,,,,,,,,,,,,,,
2026-02-15T13:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,68930.0,69069.95,68772.2,69554.45372217507,69993.15645423468,69784.78814247572,NONE,NONE,BELOW_ZERO,-179.80365560750172,LOWER,True,,,,,,,,,,,,,,
2026-02-15T14:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,68957.98,69119.91,68845.72,69446.00395450686,69926.37087654212,69729.64052038052,NONE,NONE,BELOW_ZERO,-169.39184255888068,NONE,True,,,,,,,,,,,,,,
2026-02-15T14:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,69088.5,69094.0,68956.45,69381.0032355056,69872.31469095877,69729.64052038052,NONE,NONE,BELOW_ZERO,-144.06278228138314,NONE,True,,,,,,,,,,,,,,
2026-02-15T14:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,69167.88,69219.71,68980.0,69342.25355632276,69826.86729154208,69729.64052038052,NONE,NONE,BELOW_ZERO,-113.64695873587556,NONE,True,,,,,,,,,,,,,,
2026-02-15T14:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,69170.51,69194.0,69050.0,69311.02745517316,69784.52165982968,69729.64052038052,NONE,NONE,BELOW_ZERO,-86.27627954161903,NONE,True,,,,,,,,,,,,,,
2026-02-15T15:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,69212.57,69255.6,69109.58,69293.12609968713,69747.6215527439,69693.56758358178,NONE,NONE,BELOW_ZERO,-59.5360824864232,NONE,True,,,,,,,,,,,,,,
2026-02-15T15:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,68894.5,69212.57,68888.0,69220.64862701674,69692.58145256688,69693.56758358178,NONE,NONE,BELOW_ZERO,-57.43978523299256,NONE,True,,,,,,,,,,,,,,
2026-02-15T15:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,69085.97,69087.31,68888.03,69196.16160392278,69653.44522982065,69693.56758358178,NONE,NONE,BELOW_ZERO,-38.2511289985672,NONE,False,,,,,,,,,,,,,,
2026-02-15T15:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,69099.99,69108.69,68958.35,69178.675857755,69617.73844079996,69693.56758358178,NONE,NONE,BELOW_ZERO,-20.592476740476798,NONE,False,,,,,,,,,,,,,,
2026-02-15T16:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,68987.81,69100.0,68658.0,69143.97297452681,69577.09789623223,69655.27225560877,NONE,NONE,BELOW_ZERO,-12.825351818427634,NONE,False,,,,,,,,,,,,,,
2026-02-15T16:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,69065.49,69065.5,68760.62,69129.70334279466,69544.09093518498,69655.27225560877,NONE,GOLDEN,BELOW_ZERO,0.48044310067257356,NONE,False,,,,,,,,,,,,,,
2026-02-15T16:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,69030.69,69096.43,68922.89,69111.700916832,69510.96829420532,69655.27225560877,NONE,NONE,BELOW_ZERO,9.380951462367534,NONE,False,,,,,,,,,,,,,,
2026-02-15T16:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,69017.75,69084.21,69006.26,69094.61893195345,69479.1477590953,69655.27225560877,NONE,NONE,BELOW_ZERO,16.427405243875796,NONE,False,,,,,,,,,,,,,,
