symbol,side,entry_price,exit_price,size,pnl,pnl_pct,entry_time,exit_time,bars_held,exit_reason,entry_score,max_profit_pct,max_drawdown_pct
SOLUSDT,short,85.64,84.85,1000.0,26.873984119570512,0.027673984119570515,2026-02-07 09:00:00,2026-02-07 10:30:00,11,macd_reversal,63,0.014012143858010308,0.00023353573096679146
XRPUSDT,short,1.4252,1.4208,900.0,7.615672186359732,0.009261857984844146,2026-02-07 09:00:00,2026-02-07 11:00:00,13,macd_reversal,63,0.028346898680886887,0.01017401066516977
TRXUSDT,long,0.2744,0.27547,912.687398411957,9.946696104967316,0.011698250728863142,2026-02-07 11:45:00,2026-02-07 12:45:00,9,take_profit,65,0.0053935860058310385,0.00040087463556850945
TRXUSDT,long,0.27547,0.27501,913.22561266215,-5.305493712890131,-0.0050096199223147635,2026-02-07 14:00:00,2026-02-07 13:30:00,3,stop_loss,63,0.0011616509964786981,0.0025411115547971774
BCHUSDT,long,526.07,522.12,912.1802257893972,-21.277077568972384,-0.02252551941756826,2026-02-07 12:15:00,2026-02-07 15:15:00,17,macd_reversal,72,0.012678921056133136,0.009884616115726129
TRXUSDT,long,0.27501,0.27648,1369.0425949362914,13.540543637998717,0.010690520344714934,2026-02-07 14:45:00,2026-02-07 16:15:00,11,take_profit,54,0.005345260172357467,0.0006181593396603888
UNIUSDT,long,3.542,3.55,1297.3216779289114,4.822432563603398,0.00451722190852626,2026-02-07 16:30:00,2026-02-07 18:45:00,14,macd_reversal,58,0.015245623941276192,0.007058159232072251
TRXUSDT,long,0.27648,0.27766,873.4072646838122,10.484223106730717,0.0128038194444446,2026-02-07 17:30:00,2026-02-07 20:00:00,15,macd_reversal,67,0.0051359953703702865,3.616898148151765e-05
HBARUSDT,long,0.08982,0.0901,1374.4214238970235,7.469556574780622,0.006234691605433143,2026-02-07 20:00:00,2026-02-07 21:00:00,9,macd_reversal,49,0.011578712981518585,0.0017813404586950955
STXUSDT,short,0.269,0.2691,867.2279556540343,-1.6609510883008543,-0.0011152416356876094,2026-02-07 21:15:00,2026-02-07 23:30:00,14,macd_reversal,62,0.013754646840148835,0.0029739776951671648
STXUSDT,long,0.2691,0.275,913.3815327788035,59.34678689635171,0.06577480490523988,2026-02-08 00:45:00,2026-02-08 01:30:00,8,take_profit,67,0.02749907097733191,0.0
FETUSDT,short,0.1659,0.1642,918.6942581358112,27.50700189603855,0.03074141048824556,2026-02-07 22:15:00,2026-02-08 01:45:00,19,macd_reversal,63,0.014466546112115645,0.0018083182640144348
STXUSDT,long,0.275,0.2719,919.3162114684387,-31.82505575701697,-0.03381818181818233,2026-02-08 02:45:00,2026-02-08 02:30:00,4,stop_loss,72,0.013818181818181709,0.016000000000000052
WOOUSDT,short,0.01772,0.01764,922.00471632478,11.750044755041065,0.01354401805869078,2026-02-08 03:00:00,2026-02-08 05:00:00,13,macd_reversal,62,0.008465011286681763,0.002257336343115228
ALGOUSDT,short,0.0958,0.0958,918.5533602634441,-0.7348426882107554,0.0,2026-02-08 03:45:00,2026-02-08 05:15:00,11,macd_reversal,62,0.0031315240083506757,0.005219206680584556
SOLUSDT,long,87.13,86.83,920.0735003450818,-10.239859446558238,-0.010329392861241725,2026-02-08 06:30:00,2026-02-08 06:00:00,3,stop_loss,63,0.0017215654768737024,0.006197635716745003
SOLUSDT,short,86.83,87.14,689.1349244633548,-10.392691175025783,-0.014280778532765279,2026-02-08 07:15:00,2026-02-08 06:45:00,3,stop_loss,75,0.0017275135321892373,0.008867902798571876
ALGOUSDT,long,0.0958,0.0976,919.8480020680971,51.11359144352039,0.056367432150313465,2026-02-08 06:30:00,2026-02-08 06:45:00,6,take_profit,67,0.019832985386221285,0.0
LTCUSDT,short,54.97,55.41,917.8072968336372,-22.773642450535764,-0.024013098053483596,2026-02-08 08:00:00,2026-02-08 07:00:00,1,stop_loss,68,0.002183008913953019,0.009641622703292725
WOOUSDT,short,0.0175,0.01767,923.1227265014353,-27.64093192495726,-0.02914285714285714,2026-02-08 08:00:00,2026-02-08 07:00:00,1,stop_loss,72,0.0022857142857143904,0.01142857142857136
XRPUSDT,long,1.4451,1.4286,871.8149258538095,-30.560325672441028,-0.03425368486609914,2026-02-08 09:00:00,2026-02-08 09:00:00,5,stop_loss,72,0.008788319147463797,0.014324268216732364
STXUSDT,short,0.2732,0.2649,1380.470728934403,82.77488439895723,0.06076134699853568,2026-02-08 08:15:00,2026-02-08 09:00:00,8,take_profit,58,0.03404099560761338,0.005490483162518306
XRPUSDT,long,1.4286,1.4382,868.7588932865655,16.818821897447357,0.020159596808063483,2026-02-08 10:15:00,2026-02-08 10:00:00,4,macd_reversal,68,0.012529749405011762,0.0009799804003920395
TRXUSDT,long,0.2775,0.27859,928.2075652912448,10.195231203631197,0.011783783783783565,2026-02-08 10:30:00,2026-02-08 10:45:00,6,take_profit,63,0.004648648648648496,0.00018018018018036035
DOTUSDT,long,1.364,1.363,925.3904019019569,-2.775628454737241,-0.0021994134897363165,2026-02-08 12:00:00,2026-02-08 12:30:00,7,macd_reversal,63,0.0029325513196480964,0.005865102639296193
DOTUSDT,short,1.363,1.367,1387.6692585847247,-9.25492929437901,-0.005869405722670585,2026-02-08 13:45:00,2026-02-08 13:30:00,4,macd_reversal,55,0.0029347028613352926,0.005135730007336844
AVAXUSDT,long,9.207,9.185,923.9445802805216,-7.362414304228228,-0.007168458781362085,2026-02-08 11:15:00,2026-02-08 14:15:00,17,macd_reversal,70,0.008254588899750052,0.006842619745845618
VETUSDT,short,0.008128,0.007993,1386.281019190568,44.94115667842861,0.0332185039370078,2026-02-08 14:45:00,2026-02-08 15:15:00,7,take_profit,55,0.017470472440944854,0.004429133858267664
AVAXUSDT,short,9.185,9.034,877.2174608056179,42.56219007544308,0.04931954273271631,2026-02-08 15:30:00,2026-02-08 15:30:00,5,take_profit,67,0.02079477408818734,0.001741970604246055
XRPUSDT,short,1.4171,1.4255,932.6179323119559,-17.330648642837204,-0.01778279585068089,2026-02-08 16:45:00,2026-02-08 16:00:00,2,stop_loss,72,0.0003528332510055359,0.011643497283183939
SOLUSDT,short,87.23,88.15,1394.5941331783372,-30.532770400525763,-0.02109366043792277,2026-02-08 18:00:00,2026-02-08 17:15:00,2,stop_loss,58,0.0011463945890176376,0.015361687492834909
HBARUSDT,short,0.09098,0.09283,931.3341041688664,-57.55869970955164,-0.06100241811387086,2026-02-08 17:00:00,2026-02-08 17:15:00,6,stop_loss,67,0.003077599472411546,0.021103539239393176
HBARUSDT,short,0.09283,0.09242,1382.07910652533,11.10272696955463,0.00883335128729923,2026-02-08 18:30:00,2026-02-08 18:30:00,5,macd_reversal,58,0.010987827211030842,0.0020467521275450784
HBARUSDT,short,0.0916,0.09238,922.4963437138422,-24.303951706962323,-0.025545851528384372,2026-02-08 20:00:00,2026-02-08 21:45:00,12,stop_loss,65,0.011462882096069818,0.023362445414847194
TRXUSDT,short,0.27901,0.27775,926.676145078839,11.813176228118017,0.013547901508906314,2026-02-08 18:30:00,2026-02-08 22:15:00,20,take_profit,63,0.005089423318160557,0.0017203684455755564
TRXUSDT,short,0.27775,0.27813,921.9082858195271,-4.521416622658276,-0.004104410441044012,2026-02-08 23:30:00,2026-02-09 00:00:00,7,stop_loss,72,0.001980198019801962,0.001980198019801962
UNIUSDT,long,3.481,3.442,691.092108117946,-31.52396500117369,-0.04481470841712117,2026-02-09 01:15:00,2026-02-09 00:15:00,1,stop_loss,80,0.0002872737719047211,0.01292731973570811
AAVEUSDT,short,113.52,112.79,920.0659485431461,17.013633880607536,0.01929175475687077,2026-02-08 23:00:00,2026-02-09 01:30:00,15,macd_reversal,68,0.01876321353065535,0.0015856236786469947
VETUSDT,long,0.00799,0.008022,688.727810742858,10.482454519250918,0.01602002503128863,2026-02-09 01:30:00,2026-02-09 05:00:00,19,macd_reversal,76,0.018022528160200252,0.002252816020025113
AAVEUSDT,long,112.79,113.04,707.3541936189253,5.705543133436496,0.0088660342228921,2026-02-09 02:45:00,2026-02-09 05:30:00,16,macd_reversal,78,0.01826403049915762,0.0007092827378314788
VETUSDT,short,0.008022,0.007903,706.7433989921641,41.37051377248767,0.059336823734729156,2026-02-09 06:15:00,2026-02-09 07:15:00,9,take_profit,93,0.021690351533283324,0.005983545250561103
AAVEUSDT,short,113.04,111.23,707.2171243241788,44.73015676857906,0.06404812455767878,2026-02-09 06:45:00,2026-02-09 07:15:00,7,take_profit,78,0.02238145789101204,0.0025654635527246287
VETUSDT,short,0.007903,0.007743,710.2843834572143,56.951955387403316,0.08098190560546649,2026-02-09 08:30:00,2026-02-09 09:00:00,7,take_profit,88,0.02163735290396054,0.002024547640136706
AAVEUSDT,short,111.23,109.08,713.4091007798801,54.588117156191565,0.07731727052054323,2026-02-09 08:30:00,2026-02-09 09:15:00,8,take_profit,88,0.02139710509754571,0.003056729299649278
BCHUSDT,short,513.46,518.21,1033.3945799732544,-29.50640398365078,-0.02775289214349706,2026-02-09 11:00:00,2026-02-09 10:00:00,1,stop_loss,74,0.0,0.009718381178670216
BCHUSDT,short,518.21,515.61,937.4384273772965,13.360197139348962,0.01505181297157536,2026-02-09 11:15:00,2026-02-09 11:00:00,4,macd_reversal,74,0.006946990602265534,0.0030682541826671005
UNIUSDT,short,3.341,3.357,930.0551219759291,-14.106105113697065,-0.014366956001197258,2026-02-09 11:00:00,2026-02-09 11:15:00,6,macd_reversal,74,0.0032924274169410716,0.0074827895839568725
TRXUSDT,short,0.27755,0.27833,1408.161670636847,-9.041255354140496,-0.005620608899297445,2026-02-09 12:30:00,2026-02-09 11:30:00,1,stop_loss,49,0.00039632498648891723,0.0029544226265537286
XRPUSDT,long,1.4089,1.3952,1029.4652232420406,-30.85481689095647,-0.02917169422954087,2026-02-09 13:00:00,2026-02-09 12:30:00,3,stop_loss,67,0.0002839094328908765,0.010575626375186411
LTCUSDT,long,53.55,53.19,926.5187009178363,-19.427306407816655,-0.020168067226890726,2026-02-09 13:00:00,2026-02-09 12:30:00,3,stop_loss,67,0.0014939309056957125,0.006722689075630242
XRPUSDT,long,1.3952,1.4255,933.7278714611612,60.08720886955952,0.06515194954128439,2026-02-09 13:45:00,2026-02-09 13:15:00,3,take_profit,63,0.030174885321100936,0.00043004587155958567
LTCUSDT,long,53.19,53.87,931.0642237660469,34.96432358776165,0.038353073886068796,2026-02-09 13:45:00,2026-02-09 13:45:00,5,take_profit,63,0.01955254747132918,0.00037601052829471746
XRPUSDT,long,1.4255,1.4507,937.3393094225142,48.961003187567144,0.05303402314977224,2026-02-09 14:30:00,2026-02-09 15:30:00,9,take_profit,72,0.026727464047702577,0.003928446159242406
XRPUSDT,long,1.4507,1.4354,708.6130808663155,-30.46081791283448,-0.042186530640380755,2026-02-09 16:45:00,2026-02-09 15:45:00,1,stop_loss,84,0.0017922382298200424,0.012338870889915232
LTCUSDT,long,53.87,54.88,940.2082332156436,52.131274041669826,0.05624651939855235,2026-02-09 15:00:00,2026-02-09 16:15:00,10,take_profit,72,0.021718953035084497,0.007425283088917739
LTCUSDT,long,54.88,54.39,970.37245813725,-26.76841738090053,-0.026785714285714392,2026-02-09 17:30:00,2026-02-09 17:00:00,3,stop_loss,72,0.0018221574344022286,0.011297376093294544
XRPUSDT,long,1.4354,1.4426,706.328519522853,13.606778735348996,0.020064093632437215,2026-02-09 17:00:00,2026-02-09 17:30:00,7,macd_reversal,78,0.016441410059913657,0.0021596767451582156
LTCUSDT,long,54.39,54.63,967.6956163991599,12.035934402401924,0.01323772752344192,2026-02-09 18:15:00,2026-02-09 19:45:00,11,macd_reversal,63,0.012686155543298359,0.0011031439602868592
DOGEUSDT,long,0.09605,0.09607,1414.379376877596,-0.5424855413238242,0.0004164497657471343,2026-02-09 18:45:00,2026-02-09 20:00:00,10,macd_reversal,58,0.007287870900572683,0.0031233732431024956
MINAUSDT,short,0.0647,0.0631,722.0817032083173,70.84927282187236,0.09891808346213234,2026-02-09 22:00:00,2026-02-09 22:15:00,6,take_profit,79,0.029366306027820695,0.0
