symbol,side,entry_price,exit_price,size,pnl,pnl_pct,entry_time,exit_time,bars_held,exit_reason,entry_score,max_profit_pct,max_drawdown_pct
BCHUSDT,long,458.16,453.01,500.0,-34.12184389732867,-0.06744368779465734,2026-03-12 12:00:00,2026-03-12 14:00:00,2,stop_loss,64,0.006526104417670578,0.013204993888597893
NEARUSDT,long,1.318,1.382,475.0,138.01150227617566,0.29135053110773823,2026-03-12 12:00:00,2026-03-13 00:00:00,12,take_profit,56,0.06449165402124428,0.012139605462822469
ICPUSDT,long,2.682,2.622,505.1944829189424,-68.21549557545501,-0.13422818791946323,2026-03-13 01:00:00,2026-03-13 11:00:00,10,stop_loss,57,0.008948545861297548,0.028337061894108898
DOGEUSDT,long,0.09646,0.10065,479.93475877299534,124.69960843964445,0.26062616628654356,2026-03-13 05:00:00,2026-03-13 12:00:00,7,take_profit,62,0.05732946298984028,0.004561476259589569
XRPUSDT,long,1.4082,1.3934,733.4519816116069,-31.42070371808783,-0.04203948302797877,2026-03-13 15:00:00,2026-03-13 17:00:00,2,trend_reversal,55,0.004473796335747901,0.012285186763243767
SOLUSDT,long,89.42,87.97,381.014016421614,-49.73181401442035,-0.12972489375978555,2026-03-13 15:00:00,2026-03-13 22:00:00,7,stop_loss,57,0.0080518899575039,0.019458734063967736
ATOMUSDT,long,1.853,1.848,487.39695255516693,-8.28085581172287,-0.01618996222342113,2026-03-13 17:00:00,2026-03-15 00:00:00,31,time_stop,58,0.01942795466810579,0.005936319481921155
XRPUSDT,long,1.4158,1.4547,484.66400663925515,79.51096857545043,0.16485379290860358,2026-03-15 10:00:00,2026-03-15 22:00:00,12,take_profit,64,0.03453877666337049,0.005509252719310658
XLMUSDT,long,0.16578,0.1704,377.6602649137053,83.89574481986118,0.22294607310893882,2026-03-15 06:00:00,2026-03-15 22:00:00,16,take_profit,57,0.03251296899505355,0.002654119917963709
NEARUSDT,long,1.348,1.389,383.78801666602953,93.07759085258516,0.24332344213649806,2026-03-15 23:00:00,2026-03-16 03:00:00,4,take_profit,77,0.043026706231453875,0.007418397626112766
XLMUSDT,long,0.16811,0.17178,369.39596604105344,64.2185844880396,0.1746475521979646,2026-03-16 00:00:00,2026-03-16 15:00:00,15,take_profit,60,0.04318600916066854,0.008208910832193326
BCHUSDT,long,478.58,473.13,494.68709248197325,-34.19630114742887,-0.06832713443938303,2026-03-16 23:00:00,2026-03-17 04:00:00,5,stop_loss,59,0.004784988925571525,0.01600568348029581
UNIUSDT,long,4.011,4.005,497.90143679528273,-4.867144815512232,-0.008975317875841776,2026-03-16 04:00:00,2026-03-17 08:00:00,28,time_stop,55,0.04537521815008713,0.004238344552480654
TRXUSDT,long,0.30412,0.30827,517.6289920235904,41.96706838795209,0.08187557543075076,2026-03-17 16:00:00,2026-03-18 00:00:00,8,take_profit,64,0.015553071156122622,0.0011508615020387248
ATOMUSDT,long,1.945,1.991,737.6213136336163,69.19001693808309,0.09460154241645252,2026-03-17 16:00:00,2026-03-18 03:00:00,11,take_profit,70,0.030334190231362437,0.0035989717223650986
DOTUSDT,long,1.626,1.603,523.1868462898922,-44.821861154771675,-0.08487084870848675,2026-03-18 05:00:00,2026-03-18 11:00:00,6,stop_loss,58,0.007995079950799584,0.020910209102090904
