symbol,side,entry_price,exit_price,size,pnl,pnl_pct,entry_time,exit_time,bars_held,exit_reason,entry_score,max_profit_pct,max_drawdown_pct
ATOMUSDT,long,1.831,1.812,3000.0,-33.5305297651555,-0.010376843255051832,2026-03-12 08:00:00,2026-03-12 14:00:00,6,stop_loss,60,0.005461496450027313,0.014199890770071012
BCHUSDT,long,456.0,454.98,2100.0,-6.377368421052548,-0.002236842105263118,2026-03-12 08:00:00,2026-03-12 18:00:00,10,time_stop,62,0.011293859649122757,0.008530701754385936
NEARUSDT,long,1.316,1.382,2359.940841070453,116.46774300392899,0.05015197568389045,2026-03-12 14:00:00,2026-03-13 00:00:00,10,take_profit,61,0.06610942249240119,0.0030395136778115527
ICPUSDT,long,2.626,2.622,2280.045378223002,-5.297068104898286,-0.0015232292460015246,2026-03-12 18:00:00,2026-03-13 11:00:00,17,time_stop,77,0.04188880426504201,0.007616146230007623
XLMUSDT,long,0.16509,0.16345,2319.692531020323,-24.899522580593537,-0.009933975407353413,2026-03-13 11:00:00,2026-03-13 15:00:00,4,stop_loss,55,0.018595917378399766,0.013628929674722724
ATOMUSDT,long,1.85,1.849,2338.954339978416,-3.135463115214451,-0.000540540540540601,2026-03-13 02:00:00,2026-03-13 22:00:00,20,time_stop,57,0.024864864864864767,0.008648648648648656
XLMUSDT,long,0.16345,0.16345,2312.222674246145,-1.849778139396916,0.0,2026-03-13 15:00:00,2026-03-14 05:00:00,14,time_stop,71,0.019271948608136958,0.0096665646986846
ATOMUSDT,long,1.86,1.848,2319.3015350312617,-16.81867693790413,-0.006451612903225812,2026-03-13 23:00:00,2026-03-15 00:00:00,25,trend_reversal,56,0.015591397849462318,0.006989247311828022
XRPUSDT,long,1.4043,1.4225,2312.3809177757425,28.118999847078626,0.012960193690806802,2026-03-15 01:00:00,2026-03-15 13:00:00,12,take_profit,59,0.018016093427330255,0.0
XLMUSDT,long,0.16365,0.16787,2316.6229433539074,57.88485514946287,0.025786739993889408,2026-03-14 14:00:00,2026-03-15 13:00:00,23,take_profit,60,0.03244729605866183,0.0030553009471432965
XRPUSDT,long,1.4225,1.412,2320.816617729866,-18.987461368815875,-0.007381370826010667,2026-03-15 13:00:00,2026-03-15 16:00:00,3,stop_loss,60,0.0013356766256590598,0.01019332161687183
XRPUSDT,long,1.412,1.4547,2326.395527281657,68.49092962274067,0.030240793201133275,2026-03-15 16:00:00,2026-03-15 22:00:00,6,take_profit,59,0.037322946175637375,0.002620396600566441
XLMUSDT,long,0.16787,0.16782,2336.9239719619172,-2.565590875896114,-0.0002978495264192202,2026-03-15 13:00:00,2026-03-16 01:00:00,12,time_stop,60,0.01965806874367068,0.011080002382796215
NEARUSDT,long,1.352,1.389,2346.9428061684794,62.35091012506045,0.02736686390532539,2026-03-15 22:00:00,2026-03-16 03:00:00,5,take_profit,58,0.039940828402366735,0.011094674556213109
XLMUSDT,long,0.16782,0.17115,2343.1674786437416,44.62020862156396,0.01984268859492313,2026-03-16 01:00:00,2026-03-16 08:00:00,7,take_profit,72,0.03861279942795861,0.006495054224764674
BTCUSDT,long,73219.7,75584.7,2370.4400511366684,74.66898107214932,0.032300050396273136,2026-03-16 09:00:00,2026-03-17 01:00:00,16,take_profit,77,0.03795699791176414,0.004005752550201694
ETHUSDT,long,2359.83,2319.11,2392.8407454583134,-43.203888863242675,-0.017255480267646315,2026-03-17 01:00:00,2026-03-17 03:00:00,2,stop_loss,68,0.0003559578444210581,0.02244229457206665
UNIUSDT,long,4.011,4.005,2363.0053499386813,-5.425191639620011,-0.001495886312640296,2026-03-16 04:00:00,2026-03-17 08:00:00,28,time_stop,55,0.04537521815008713,0.004238344552480654
AVAXUSDT,long,10.346,10.25,2379.8795787993404,-23.986683439256065,-0.009278948385849611,2026-03-17 03:00:00,2026-03-17 13:00:00,10,time_stop,64,0.004736129905277353,0.014691668277595132
ATOMUSDT,long,1.943,1.939,2373.189752649256,-6.784171467892453,-0.002058672156459086,2026-03-17 08:00:00,2026-03-17 19:00:00,11,time_stop,61,0.006690684508491971,0.007720020586721628
BTCUSDT,long,74469.9,73821.3,2367.5221611781626,-22.514092064212697,-0.008709559164172254,2026-03-17 20:00:00,2026-03-18 00:00:00,4,stop_loss,69,0.004123813782481322,0.013131479967073869
SOLUSDT,long,93.76,92.18,2368.000695462505,-41.79884913604954,-0.016851535836177454,2026-03-17 15:00:00,2026-03-18 11:00:00,20,stop_loss,58,0.019944539249146652,0.021437713310580257
ADAUSDT,long,0.2882,0.2801,2360.767933558899,-68.23913572723252,-0.02810548230395557,2026-03-18 00:00:00,2026-03-18 11:00:00,11,stop_loss,79,0.025329632199861115,0.034698126301179764
