timestamp,equity,positions
2026-02-06 21:00:00,10000.0,0
2026-02-06 22:00:00,10000.0,0
2026-02-06 23:00:00,10000.0,0
2026-02-07 00:00:00,10000.0,0
2026-02-07 01:00:00,10000.0,0
2026-02-07 02:00:00,10000.0,0
2026-02-07 03:00:00,10000.0,0
2026-02-07 04:00:00,10000.0,0
2026-02-07 05:00:00,10000.0,0
2026-02-07 06:00:00,10000.0,0
2026-02-07 07:00:00,10000.0,0
2026-02-07 08:00:00,10000.0,0
2026-02-07 09:00:00,10000.0,0
2026-02-07 10:00:00,10000.0,0
2026-02-07 11:00:00,10000.0,0
2026-02-07 12:00:00,10000.0,0
2026-02-07 13:00:00,10000.0,0
2026-02-07 14:00:00,10000.0,0
2026-02-07 15:00:00,10000.0,0
2026-02-07 16:00:00,10000.0,0
2026-02-07 17:00:00,10000.0,0
2026-02-07 18:00:00,10000.0,0
2026-02-07 19:00:00,10000.0,0
2026-02-07 20:00:00,10000.0,0
2026-02-07 21:00:00,10000.0,0
2026-02-07 22:00:00,10000.0,0
2026-02-07 23:00:00,10000.0,0
2026-02-08 00:00:00,10000.0,0
2026-02-08 01:00:00,10000.0,0
2026-02-08 02:00:00,10000.0,0
2026-02-08 03:00:00,10000.0,0
2026-02-08 04:00:00,10000.0,0
2026-02-08 05:00:00,10000.0,0
2026-02-08 06:00:00,10000.0,0
2026-02-08 07:00:00,10000.0,0
2026-02-08 08:00:00,10000.0,0
2026-02-08 09:00:00,10000.0,0
2026-02-08 10:00:00,10000.0,0
2026-02-08 11:00:00,10000.0,0
2026-02-08 12:00:00,10000.0,0
2026-02-08 13:00:00,10000.0,0
2026-02-08 14:00:00,10000.0,0
2026-02-08 15:00:00,10000.0,0
2026-02-08 16:00:00,10000.0,0
2026-02-08 17:00:00,10000.0,0
2026-02-08 18:00:00,10000.0,0
2026-02-08 19:00:00,10000.0,0
2026-02-08 20:00:00,10000.0,0
2026-02-08 21:00:00,10000.0,0
2026-02-08 22:00:00,10000.0,0
2026-02-08 23:00:00,10000.0,0
2026-02-09 00:00:00,10000.0,0
2026-02-09 01:00:00,9986.969168652487,2
2026-02-09 02:00:00,9983.056086746652,2
2026-02-09 03:00:00,9906.156978563275,2
2026-02-09 04:00:00,9938.354942401824,2
2026-02-09 05:00:00,9917.131553203859,2
2026-02-09 06:00:00,9932.504775039932,2
2026-02-09 07:00:00,9994.78153997381,2
2026-02-09 08:00:00,10023.519799984868,2
2026-02-09 09:00:00,10021.119802057236,2
2026-02-09 10:00:00,10053.082818716204,2
2026-02-09 11:00:00,10115.38203269269,2
2026-02-09 12:00:00,10057.515991710095,2
2026-02-09 13:00:00,10030.32396442695,0
2026-02-09 14:00:00,10030.32396442695,0
2026-02-09 15:00:00,10030.32396442695,0
2026-02-09 16:00:00,10030.32396442695,2
2026-02-09 17:00:00,10043.31626864005,2
2026-02-09 18:00:00,10092.838326226334,2
2026-02-09 19:00:00,10087.849958849214,1
2026-02-09 20:00:00,10108.948053600125,1
2026-02-09 21:00:00,10096.712218931501,0
2026-02-09 22:00:00,10096.712218931501,0
2026-02-09 23:00:00,10096.712218931501,0
2026-02-10 00:00:00,10096.712218931501,1
2026-02-10 01:00:00,10035.163664644868,0
2026-02-10 02:00:00,10031.419717996458,1
2026-02-10 03:00:00,10034.747670572822,2
2026-02-10 04:00:00,10008.428375595595,2
2026-02-10 05:00:00,9992.972407164436,2
2026-02-10 06:00:00,10055.04264155377,2
2026-02-10 07:00:00,10106.365142575016,2
2026-02-10 08:00:00,10100.481721217955,2
2026-02-10 09:00:00,10060.061467686719,2
2026-02-10 10:00:00,10080.907380589295,0
2026-02-10 11:00:00,10085.390946879284,2
2026-02-10 12:00:00,10101.81322809512,2
2026-02-10 13:00:00,10109.910949295861,2
2026-02-10 14:00:00,10097.623538860156,2
2026-02-10 15:00:00,10121.263739418871,2
2026-02-10 16:00:00,10070.239851630517,2
2026-02-10 17:00:00,10104.97512869726,2
2026-02-10 18:00:00,10072.38900479942,2
2026-02-10 19:00:00,10123.96260523865,2
2026-02-10 20:00:00,10096.571253038222,2
2026-02-10 21:00:00,10049.4227911682,2
2026-02-10 22:00:00,10056.398868504912,1
2026-02-10 23:00:00,10053.022923587218,2
2026-02-11 00:00:00,10054.28531058604,1
2026-02-11 01:00:00,10042.93296696562,1
2026-02-11 02:00:00,10064.455728381583,1
2026-02-11 03:00:00,10063.988793860719,2
2026-02-11 04:00:00,10071.396886406797,2
2026-02-11 05:00:00,10122.378590086828,2
2026-02-11 06:00:00,10182.06884045696,2
2026-02-11 07:00:00,10193.168846846303,2
2026-02-11 08:00:00,10214.423977623173,2
2026-02-11 09:00:00,10234.511209610424,2
2026-02-11 10:00:00,10257.533468291846,1
2026-02-11 11:00:00,10266.154667571802,2
2026-02-11 12:00:00,10221.262405844405,1
2026-02-11 13:00:00,10219.430273566919,2
2026-02-11 14:00:00,11153.66568112666,2
2026-02-11 15:00:00,10754.863501798844,1
2026-02-11 16:00:00,10737.336473505551,2
2026-02-11 17:00:00,10646.775625649008,2
2026-02-11 18:00:00,10637.901431357663,2
2026-02-11 19:00:00,10619.165786188023,1
2026-02-11 20:00:00,10589.515911892831,1
2026-02-11 21:00:00,10554.30734183139,1
2026-02-11 22:00:00,10559.820823162096,0
2026-02-11 23:00:00,10559.820823162096,1
2026-02-12 00:00:00,10474.44231280783,0
2026-02-12 01:00:00,10487.825035010588,2
2026-02-12 02:00:00,10475.686912436136,2
2026-02-12 03:00:00,10499.445666472731,2
2026-02-12 04:00:00,10498.262171580642,2
2026-02-12 05:00:00,10471.019396933018,2
2026-02-12 06:00:00,10485.8302311888,2
2026-02-12 07:00:00,10501.349579718002,2
2026-02-12 08:00:00,10540.50718709667,2
2026-02-12 09:00:00,10523.950180987371,2
2026-02-12 10:00:00,10571.602205882458,2
2026-02-12 11:00:00,10591.272608160665,2
2026-02-12 12:00:00,10564.781106504151,2
2026-02-12 13:00:00,10537.027662417693,0
2026-02-12 14:00:00,10509.974867625042,0
2026-02-12 15:00:00,10487.788284810225,2
2026-02-12 16:00:00,10598.51871041429,2
2026-02-12 17:00:00,10647.187730574075,2
2026-02-12 18:00:00,10665.250323734377,2
2026-02-12 19:00:00,10657.904784222665,2
2026-02-12 20:00:00,10581.614620668353,1
2026-02-12 21:00:00,10532.534680473545,2
2026-02-12 22:00:00,10550.730270651142,2
2026-02-12 23:00:00,10625.331073786463,2
2026-02-13 00:00:00,10685.329862979914,2
2026-02-13 01:00:00,10627.814219155724,2
2026-02-13 02:00:00,10616.42218051608,2
2026-02-13 03:00:00,10584.330607982156,1
2026-02-13 04:00:00,10586.547012386462,1
2026-02-13 05:00:00,10588.593455567152,2
2026-02-13 06:00:00,10598.43760157662,2
2026-02-13 07:00:00,10537.662820947404,1
2026-02-13 08:00:00,10543.252872207151,2
2026-02-13 09:00:00,10545.628525735738,2
2026-02-13 10:00:00,10553.00083474742,2
2026-02-13 11:00:00,10558.097273141087,2
2026-02-13 12:00:00,10526.605020039611,2
2026-02-13 13:00:00,10590.545222283432,2
2026-02-13 14:00:00,10529.148527744137,2
2026-02-13 15:00:00,10713.466752494443,2
2026-02-13 16:00:00,10771.3537127307,2
2026-02-13 17:00:00,10788.73967411183,2
2026-02-13 18:00:00,10749.00199717405,2
2026-02-13 19:00:00,10764.607604111854,2
2026-02-13 20:00:00,10741.748490239153,1
2026-02-13 21:00:00,10746.554236490163,2
2026-02-13 22:00:00,10758.143610263576,2
2026-02-13 23:00:00,10682.023905404762,2
2026-02-14 00:00:00,10742.036882315013,1
2026-02-14 01:00:00,10898.151840981052,2
2026-02-14 02:00:00,10851.853095074679,2
2026-02-14 03:00:00,10785.44829858487,2
2026-02-14 04:00:00,10763.002567871388,2
2026-02-14 05:00:00,10765.391021943824,2
2026-02-14 06:00:00,10728.836268858575,1
2026-02-14 07:00:00,10749.650226410435,1
2026-02-14 08:00:00,10824.672598810474,2
2026-02-14 09:00:00,10852.264699669176,2
