timestamp,symbol,action,reason,position_before_side,position_after_side,entry_price_before,entry_price_after,quantity_before,quantity_after,stop_price_before,stop_price_after,tp1_price_before,tp1_price_after,tp1_hit_before,tp1_hit_after,pnl_ratio_before,pnl_ratio_after,close,high,low,ema10,ema30,ema30_1h,ema_cross,macd_cross,macd_zone,macd_hist,bb_break,bb_width_expand,event_side,event_entry_price,event_target_margin,event_quantity,event_stop_price,event_tp1_price,event_ema_macd_signal_bars_ago,event_ema_bb_signal_bars_ago,event_runner_active,event_tp1_reduced,event_current_pnl_ratio,event_exit_price,event_net_pnl,event_hold_bars,event_rank
2025-11-17T06:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,94959.38,95242.91,94900.0,95118.89136535194,94962.4328617051,95128.90709157394,NONE,NONE,ABOVE_ZERO,-57.30614545920716,NONE,True,,,,,,,,,,,,,,,
2025-11-17T06:00:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,3176.2,3190.96,3171.0,3178.748884930331,3154.1205543610645,3148.111303480218,NONE,DEAD,ABOVE_ZERO,-0.9671436597033889,NONE,False,,,,,,,,,,,,,,,
2025-11-17T06:15:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,95070.75,95144.78,94900.01,95110.1383898334,94969.42106417575,95128.90709157394,NONE,NONE,ABOVE_ZERO,-56.01614895931934,NONE,True,,,,,,,,,,,,,,,
2025-11-17T06:15:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,3190.41,3193.25,3175.32,3180.8690876702703,3156.4618089184155,3148.111303480218,NONE,NONE,ABOVE_ZERO,-0.9598615265889485,NONE,False,,,,,,,,,,,,,,,
2025-11-17T06:30:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,94942.5,95078.67,94908.97,95079.65868259096,94967.68422132572,95128.90709157394,NONE,NONE,ABOVE_ZERO,-61.96800875260092,NONE,False,,,,,,,,,,,,,,,
2025-11-17T06:30:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,3185.13,3190.82,3182.02,3181.643799002948,3158.3113696333567,3148.111303480218,NONE,NONE,ABOVE_ZERO,-1.4156446791009323,NONE,False,,,,,,,,,,,,,,,
2025-11-17T06:45:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,95282.36,95333.99,94927.25,95116.51346757442,94987.985884466,95128.90709157394,NONE,NONE,ABOVE_ZERO,-42.1319932105672,NONE,False,,,,,,,,,,,,,,,
2025-11-17T06:45:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,3194.0,3197.55,3184.5,3183.890381002412,3160.6138619150756,3148.111303480218,NONE,NONE,ABOVE_ZERO,-1.2315287919778335,NONE,False,,,,,,,,,,,,,,,
2025-11-17T07:00:00,BTCUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,95322.24,95463.29,95203.8,95153.91829165179,95009.55066611335,95138.80727921435,NONE,NONE,ABOVE_ZERO,-26.220469171738756,NONE,True,,,,,,,,,,,,,,,
2025-11-17T07:00:00,ETHUSDT,BAR,no_signal,FLAT,FLAT,,,0.0,0.0,,,,,False,False,,,3196.3,3204.68,3189.04,3186.1466753656096,3162.9161934044255,3151.0718645460106,NONE,NONE,ABOVE_ZERO,-1.07246339080816,NONE,False,,,,,,,,,,,,,,,
